"Internal - All"
"Original Url","Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","Size","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.squarespace.com","https://www.squarespace.com/","text/html;charset=utf-8","200","OK","Indexable","","Build a Website – Website Builder – Squarespace","47","395","Squarespace is the all-in-one solution for anyone looking to create a 
beautiful website. Domains, eCommerce, hosting, galleries, analytics, and 
24/7 support all included.","174","991","","0","Squarespace is the all-in-one platform to build a beautiful online presence.","76","","0","Make it.","8","Sell it.","8","","","https://www.squarespace.com/","","","154073","460","1.9961427","0","","36","7","87.5","97","49","5","5","c508fc94310418ece3363b5573641b23","0.453","","","","https://www.squarespace.com/"
"https://www.squarespace.com/website-design","https://www.squarespace.com/website-design","text/html;charset=utf-8","200","OK","Indexable","","Website Design - Design your Website – Squarespace","50","433","The leaders in website design. Our website templates work for all devices, 
so you only have to design your website once. Stand out with website design 
powered by Squarespace.","178","1050","","0","The Leader in Website Design","28","","0","Create Your Website","19","Award-Winning Web Designs","25","","","https://www.squarespace.com/website-design","","","144316","578","2.6852057","0","","23","8","100.0","89","51","9","9","50779ffb4206b8ee5bd695b779301a3e","0.166","","","","https://www.squarespace.com/website-design"
"https://www.squarespace.com/domain-name-search","https://www.squarespace.com/domain-name-search","text/html;charset=utf-8","200","OK","Indexable","","Domain Name Search - Search Domain Names – Squarespace","54","504","Your domain name search is just the start. Find a domain name for your 
website and bring your vision to life. It starts with your domain name. 
Find your domain today.","170","980","","0","","0","","0","Pricing","7","Clean Management Interface","26","","","https://www.squarespace.com/domain-name-search","","","120726","554","2.9063795","0","","24","8","100.0","76","44","5","5","3c8c6999640ec024339de083b1d4c96d","1.883","","","","https://www.squarespace.com/domain-name-search"
"https://www.squarespace.com/ecommerce-website","https://www.squarespace.com/ecommerce-website","text/html;charset=utf-8","200","OK","Indexable","","Online Store - Create an eCommerce Website – Squarespace","56","493","Start selling with an online store. Sell online with a professional 
eCommerce website powered by our all-in-one platform. Optimize your online 
store to sell more and grow your eCommerce business.","199","1153","","0","All you need to power your online store","39","","0","Sell Anything","13","Online Stores That Stand Out","28","","","https://www.squarespace.com/ecommerce-website","","","142359","728","3.3898067","0","","24","8","100.0","87","50","8","8","494ddfda21f09ee2634aeb47ad9edfe2","1.319","","","","https://www.squarespace.com/ecommerce-website"
"https://www.squarespace.com/website-marketing","https://www.squarespace.com/website-marketing","text/html;charset=utf-8","200","OK","Indexable","","Website Marketing - Online Marketing Tools and Analytics – Squarespace","70","587","Website marketing to reach and grow your audience. Engage your audience 
with our online marketing tools to enhance your social media, SEO, and grow 
your following.","167","990","","0","Grow Your Audience","18","","0","Marketing Tools","15","Email Campaigns","15","","","https://www.squarespace.com/website-marketing","","","131665","403","2.082811","0","","26","8","100.0","79","42","8","8","beec49dde0bbcf4d53e063fb12ec96d","0.813","","","","https://www.squarespace.com/website-marketing"
"https://www.squarespace.com/scheduling","https://www.squarespace.com/scheduling","text/html;charset=utf-8","200","OK","Indexable","","Online Scheduling - Appointment and Meeting Scheduler – Squarespace","67","578","","0","0","","0","","0","","0","All you need to do is show up at the right time.","48","Working 24/7 to fill your schedule.","35","","","https://www.squarespace.com/scheduling","","","120451","557","3.055641","0","","21","7","87.5","72","42","10","7","464ab36200227befc76c2ace953d51a3","0.729","","","","https://www.squarespace.com/scheduling"
"https://www.squarespace.com/templates","https://www.squarespace.com/templates","text/html;charset=utf-8","200","OK","Indexable","","Website Templates - Website Design Templates – Squarespace","58","510","Our beautifully-designed website templates come with hundreds of 
customizable features. Every template is just a starting point. No coding 
or HTML required.","160","931","","0","","0","","0","Categories","10","","0","","","https://www.squarespace.com/templates","","","91774","170","1.321898","0","","65","8","100.0","72","42","5","5","cc5a6275050cbc0068fad70f3da88467","0.125","","","","https://www.squarespace.com/templates"
"https://support.squarespace.com/hc/en-us/categories/200352188-Knowledge-Base","https://support.squarespace.com/hc/en-us/categories/200352188-Knowledge-Base","text/html; charset=utf-8","200","OK","Indexable","","Knowledge Base – Squarespace Help","33","302","","0","0","","0","","0","Knowledge Base","14","R E S T R I C T E D","19","","0","","","https://support.squarespace.com/hc/en-us/categories/200352188-Knowledge-Base","","","39293","705","10.759703","0","","0","0","0.0","46","32","4","4","fbc974934f6494209ce1df33be71d760","0.445","","","","https://support.squarespace.com/hc/en-us/categories/200352188-Knowledge-Base"
